LPG Subsidy aadhar,561679 698049 507409 544255 535350 487534 679568 476160 479373 546873 632057 686357 499079 473470 478026 507777 477468 487534 518859 510309 477422 474516 493069 477456 700159
vidarbh farmer suicide,666941 267954 348563 803831 774594 853447 841591 787475 426788 634044 794271 511527 472632 783506 434274 840414 743195 751849 277038 756745 800205 619118 284398 743914 472619
AAP rally suicide,713587 713541 713632 713587 715252 715637 713181 796286 823058 715637 713633 720777 717183 822593 574521 737782 859889 713179 579038 737782 714415 400015 712829 717183 397428
Arvind Kejriwal gujrat,581709 687970 672379 862771 689759 536895 713226 745321 699751 587302 255730 555601 803876 603442 412833 551610 545290 839779 683684 400467 752824 537297 453232 594486 565519
Obama republic day,682445 662364 682445 662364 680744 682505 682799 682234 682491 682542 682799 682542 682491 682475 682475 681338 679802 682490 680348 681704 682490 680396 681956 682505 682180
yahoo acquired deal,274006 344384 344746 647227 451102 469858 499737 796877 829358 400389 287346 269981 663721 363827 664946 455269 265137 265836 489935 454937 731106 647983 361485 513987 513987
Kaveri protest,833966 550830 550830 550830 670480 720860 860302 443038 760589 404251 690428 452777 454010 454009 454017 377370 439550 439550 439546 439544 439364 793904 467873 457888 454007
bangalore bandh kaveri,267356 271339 625567 378778 769415 254187 364779 710042 386054 639591 553031 392073 347863 627865 627039 397373 364780 618430 626586 453193 497678 789324 456077 327513 361502
operation blue star,398303 432712 544584 433056 254432 395678 398628 491916 557957 565503 508390 565537 395970 439888 565508 478611 355693 438970 497617 398636 565910 440343 398638 851769 263166
opposition protest parliament no functioning,539856 572003 572003 699727 699803 699707 699709 565421 749334 798881 443764 744512 667350 675234 384201 382568 416913 268778 748312 234500 744506 412483 752373 544217 752373
surgical strike LOC,542625 500755 541947 544139 528450 547090 546546 500598 543799 547679 547351 556662 556662 556662 542215 547155 541383 542363 542411 562150 542626 528451 547882 528273 542597
pathankot airbase,821239 835820 839078 830647 400983 841090 857741 399009 826276 826306 398226 840718 840684 827332 692177 398054 852097 844878 672773 397974 840688 838664 672773 671830 399864
Olympic medal 2013 indian,849556 804326 459842 425103 425103 545022 376760 673394 705956 775883 544131 852932 450948 459989 276992 544598 437661 546202 498751 744238 544249 405628 405628 660159 372986
Ritu beri fashion style,706252 378698 454430 632205 706623 632202 493863 632200 433807 632690 632210 577133 453993 576786 454564 587875 849099 848719 669541 848725 848720 669888 670954 182052 182052
Diwali sweet recipe,782437 782431 782457 256606 530236 530240 256606 255699 256082 407931 782427 652884 785919 782445 574759 782438 530749 408340 408012 256952 256634 407647 652924 587822 408418
Sachin speech emotional,293652 535992 781585 537867 536170 522738 535958 688539 536604 574469 535393 688037 571457 464886 571471 423079 571463 797434 627425 265852 320833 621083 621083 222309 462307
Sania nehwal world championship,664947 401966 613539 495872 456235 695308 372064 397495 804710 752787 347465 699159 754521 522370 754553 749670 711154 721806 721573 709955 859232 446821 412519 277560 277558
delhi dengue rises,748769 508765 449635 760967 402440 645929 647248 407542 401527 696508 765352 751412 592081 615720 456309 769977 766643 456086 517352 766971 772180 765309 338253 519915 756751
Mohalla clinic WHO,803536 681024 447705 803316 447477 694803 751019 499427 542867 675261 695232 500703 500450 541364 462218 462412 499591 499751 562573 562573 562191 848797 546564 679913 694803
Home Ministry Srikrishna committee,552307 478999 552307 551426 550375 551426 551426 550663 551426 522728 337894 551426 551426 551426 551426 493396 551426 493396 551426 551426 550705 496089 496089 496089 496089
chairman ULFA bail Guwahati,791717 550376 791427 222536 460876 222274 327103 791014 327103 222274 802714 273024 233279 232965 681949 200564 681949 681980 681980 332952 733784 550657 306233 255369 744178
India Pakistan Nuclear agreement,778593 682799 457403 785967 707519 772821 359648 776762 440973 549563 780392 454910 779114 255339 598762 691460 398225 283292 417278 519459 276718 201408 757653 443709 550378
Chairman Oriental Bank of Commerce,674335 306206 256097 265464 339553 783531 674676 670630 498013 682141 498047 374482 448723 550365 477398 499673 449186 361472 545215 480212 490327 680337 574822 667434 749673
burnt alive by oil mafia Nashik,553622 553601 259985 582101 553622 553622 553601 553674 553674 553674 553674 553601 553622 553601 553600 545761 545761 545761 545761 553600 553600 553600 512315 252991 512349
stampede sabarimala shrine,652152 694767 397450 694827 694827 512338 694345 398573 397458 552198 802713 552303 552198 271351 250261 552303 552181 552552 552552 552180 552153 552195 552169 210574 280278
prosecution CM B.S.Yeddyurappa,537984 708721 537984 819558 537984 402693 537984 801574 299284 791416 378308 647442 449835 700130 525605 398119 791488 329847 719945 719979 549069 392416 206072 206383 199590
sacked chairman commonwealth games committee,592738 285206 538028 241354 285208 538028 230368 233837 231786 381897 233820 469928 538028 203354 199219 247845 199219 199219 633153 232412 538028 381445 232359 232384 368042
A.Raja Tihar Jail,458712 694408 694779 774525 592754 694779 460460 736835 771765 329478 734031 574197 575512 460085 605540 224909 674054 598431 497491 737275 574465 493972 574199 534943 598417
Bombay High Court Ajmal Kasab,243464 545182 552314 252464 383765 252445 242308 552300 243422 545689 552300 545182 545185 545185 756743 545182 545233 388696 545185 578562 545233 545185 545233 545233 545182
Ahmedabad court Godhra case,659710 457581 259701 211456 211463 545955 496845 495007 450940 282699 440806 495007 495007 282990 291807 496845 282699 514818 434664 438221 545688 495007 448835 462854 277916
National Games Ranchi,541982 342370 689379 677007 679488 541982 665679 545228 545228 545228 249533 207000 538031 610608 685423 271908 789444 568310 545020 568723 661040 819507 691009 551419 429678
Malkangiri Maoists,577946 469094 516271 484864 513122 794272 521621 775492 505466 529930 546863 712393 767193 712393 339609 784361 764670 513684 200575 552179 447778 514873 215245 495919 520624
Supreme Court CVC PJ Thomas,552314 200830 552314 493396 534214 493396 222564 226090 395988 222557 493399 493399 512486 396322 493901 204715 493375 493385 493385 512358 495810 493399 493399 211199 211148
Gilani Pakistan Cricket World Cup,577232 705028 468164 779335 779335 467453 689316 496622 496623 496622 496624 496834 496788 496834 496788 496833 496623 496394 496846 284349 200245 199219 496846 199219 199219
Supreme Court dismisses euthanasia plea,447891 240167 240167 672381 744927 857187 300110 506351 668458 539200 248873 572762 631468 209813 713197 336613 350304 248873 504699 722107 624650 495444 403007 721255 721213
Hasan Ali remanded,199784 496088 496088 496088 496101 468416 496088 496101 496038 496038 496038 496101 199784 468173 468245 468290 821630 286198 496101 496038 275945 259689 495721 250521 250238
Swiss Open Grand Prix,837891 350675 452036 745842 837183 699158 451453 449881 451762 578686 800152 700059 837255 300813 698758 585617 698395 397600 836766 452403 495712 699724 692072 838272 576174
DGCA fake pilots,468507 468370 496578 495770 242277 199841 469133 468172 199841 199557 204981 496346 205343 456762 265167 638731 463055 468245 381426 381452 581719 582093 423342 496394 222017
Census 2011,397972 717926 513042 513042 513042 513042 513042 454360 516985 683742 591219 475249 256931 475202 429281 557249 199017 458751 548168 547702 553040 561272 203417 343851 327163
India wins CWC,493078 357094 493726 715216 862278 712398 615584 712398 668113 703351 710698 362638 408694 761345 408691 408712 339236 675560 574521 523905 337883 597228 527752 357094 483974
Dorjee Khandu crash,596383 449450 199553 199222 199222 199222 449406 199812 199812 198967 199269 199541 199786 199786 199585 199234 199234 199234 199592 199270 199270 199270 199219 199219 199219
Anna Hazare fast,208598 281239 546708 274605 211908 208598 333721 240753 239541 348518 239482 275952 369858 370111 238618 239488 208598 370958 236809 368055 252440 238609 371465 477411 275952
civil rights activist Binayak Sen,243819 468730 553972 550325 352151 301930 431148 337725 254834 291132 206378 552507 334722 200820 467946 468389 468530 468505 202527 200831 468041 299692 553972 410795 200837
Prime Minister Thailand India visit,275332 670993 819023 274348 385249 398608 476769 478285 476769 476767 274655 477085 477086 736282 286740 760087 833797 783103 420171 283600 818093 526656 214593 677343 713706
corporate honchos arrested 2G spectrum,545829 545829 545829 545829 469275 204360 469860 469135 266118 266144 493900 468288 200520 207538 271965 495074 495074 495074 495074 495074 495074 495074 495074 495074 495074
Mamata Banerjee wins Chief Minister,692215 249526 293412 433050 331930 865255 293387 298614 298614 743580 244572 263482 448970 866398 338229 690332 695304 716322 244605 331857 799365 291847 392019 438100 840688
Manmohan Singh aid African countries,204122 204658 866433 204103 394068 208600 455296 296508 208600 455647 234498 455657 731371 468170 545410 367182 269726 255768 467990 522361 468042 566945 455657 255010 204960
J.Jayalalitha assembly elections,441698 445713 223169 575510 607675 820501 450390 835494 336602 430077 820855 489375 442233 298608 622959 298608 533248 653430 605129 793937 243465 463855 463862 463859 463857
Supreme Court disqualify 16 MLA Karnataka,723306 579781 285231 202525 545628 203720 203381 207553 204967 553029 203368 206967 202508 203970 204393 202792 707900 449404 857739 822572 203970 541626 767884 681743 681701
German Chancellor International Understanding,695003 838342 246645 698056 589787 758791 260020 786364 442385 712836 692778 824284 663473 798846 660601 547259 659646 569160 200522 442055 536981 543576 234190 368132 206693
UN protocol human trafficking,661658 437405 480223 557956 498660 826511 355667 254219 355250 683758 801288 542481 692356 843887 620810 527492 248627 380605 722198 689777 479048 583214 490594 315718 490594
2011 Santosh Trophy,441355 835009 679577 429307 680968 443008 440963 677007 612862 552511 547186 447115 681015 264077 442688 678080 436776 678718 699705 541379 525333 441004 694121 694311 669140
journalist MiD DAY shot dead,442363 859800 823523 233288 232962 466218 772421 772468 523020 209820 859785 383433 698394 763463 503664 448753 759771 491352 209776 784818 210550 501792 559537 209777 337069
India International Institute of Democracy and Election Management,558930 337517 431150 798907 337193 354503 567602 266115 351088 324932 462217 252216 461886 516918 702216 422821 548798 679180 290593 558513 401801 548847 290593 578683 830254
M.F Hussain,558762 262587 209230 798520 209746 213008 515868 844386 209748 664127 537706 775534 707522 265510 664127 664127 664127 664465 697008 697008 243388 209729 650480 650480 650480
John Key visits India,664219 553650 663506 576339 664219 664219 592674 591986 664219 439543 547538 395088 580268 485127 713178 607495 583389 444450 214041 358346 214041 214593 854519 633146 573107
e-waste management rules,213047 380106 864710 500182 841942 614998 291171 840329 290916 788969 210543 647029 647235 337200 351150 464929 336327 438112 553614 553614 553614 553614 469941 339606 438364
India global environment index,767156 500412 527450 719042 719042 646750 719042 685821 395651 719042 719042 719042 719042 719042 675842 719042 415254 719042 719042 395651 719042 399676 822039 513624 443359
Supreme Court secret chambers Padmanabhaswamy Temple,259994 261706 293716 594486 228332 240774 455794 592991 717476 239122 594595 211939 595021 333050 243125 245807 231761 214593 407238 254461 593961 595807 245441 221541 214908
series bomb-blasts Mumbai,223491 223477 765701 473487 677914 234132 764344 677914 462579 841195 222921 222545 222875 599089 377796 462524 770884 516604 507379 222920 222887 770835 222929 444160 444126
Gorkhaland Territorial Administration,452444 452422 354864 503125 497223 221254 372021 433421 288156 372999 496897 550657 223203 223234 242511 456059 373028 503125 570425 570465 224913 433063 508390 354953 242517
India-Bangladesh border management deal,230994 835002 342703 843887 282683 282683 293040 557597 671763 729018 394440 578309 748268 243075 220945 220945 777852 548568 729022 660408 450710 748268 566651 679551 705949
Rawatbhata Rajasthan,279728 276716 620766 274331 292619 462579 358726 228366 580302 380980 381428 362953 449902 358702 404587 416281 368029 408690 404557 630596 409648 368049 224907 408668 328279
NGT Formed,448419 728797 570111 541361 849641 643686 782830 763916 598439 729089 671222 770014 698820 764370 448220 786014 707605 523919 770437 455453 782043 678657 644431 511476 795394
RBI guidelines new bank licences,477084 586503 410405 606386 755921 421963 482848 448660 444490 547317 485867 242504 241633 755964 517756 446075 445692 587412 590956 447707 444489 675494 586959 444490 542884
Parliament lokpal bill,240780 199236 343451 552837 343451 544996 274334 239454 233810 544896 231805 272522 230066 272740 266133 559458 239077 240756 270757 274008 275628 546143 341455 239527 468066
Sustainable Competitiveness Delhi,693014 500702 692235 573906 696149 255722 397578 347511 656551 728450 294869 346718 346380 866394 594648 594648 594648 552063 561243 293076 572008 389100 403657 731631 572008
earthquake Sikkim,247819 247827 520774 273030 246637 515771 246653 255409 554247 391311 251622 255027 248615 251622 554247 252464 247801 247812 252425 284170 256641 249193 253304 715237 715309
Land Acquisition Rehabilitation and Resettlement Bill,278381 278381 278381 276219 278191 276221 693886 693886 667458 383391 419812 383373 696727 507400 383363 523866 247858 393362 393372 507393 393391 463205 234569 204960 509496
Prime minister dhaka visit,216295 230706 727255 693050 728777 724937 242259 695301 695301 693056 726914 672773 672773 726917 230061 236794 240522 240504 240504 240522 692074 690672 691467 199527 734375
Durand Cup,254730 252276 513288 653192 512678 510858 652443 513068 512227 511835 251965 510262 605926 511472 251687 513634 251687 252994 652120 511086 671010 653192 380541 468765 245449
Buddh International Circuit Noida,258174 451769 851556 256976 256980 569051 851726 851735 401463 256979 412884 792548 400408 261332 256977 266121 516571 254998 248579 351358 393021 494694 412184 351081 527909
baby Nargis Uttar Pradesh,260827 260830 328590 328596 467890 786794 786404 340278 724561 605929 462732 259277 261988 684444 260743 684444 684444 520288 477680 783978 367191 477680 505995 454926 454911
Saving Bank Interest decontrolled RBI,266113 283291 562140 528697 632009 376751 262256 202252 262256 793955 260258 262257 259939 474246 474246 257834 837878 198966 662362 662362 772224 257205 669077 540636 231771
National Manufacturing Policy,257202 237465 245437 209812 634849 341396 293034 780129 482161 209211 467250 256897 207822 604803 257854 257204 673683 223174 245752 474506 427848 510604 294795 692942 513642
Planning Commission India Human Development Report,469206 469206 469206 252243 258204 552248 826653 667155 633260 791052 501770 300119 440147 552184 552248 440147 519936 256425 496508 428129 694808 421187 540351 835460 699459
Hamid Karzai visits India,409209 457985 572003 428859 572003 662605 428488 473787 569470 764340 545410 457991 473813 545779 761342 699477 569677 605126 365548 575945 506629 462376 544995 545059 545040
Chhattisgarh police superintendent torture,297999 839177 839566 283574 839085 298027 576838 731640 268270 285915 297578 253609 294832 490028 490361 255726 518799 774477 285570 280015 462243 427119 426752 337505 461275
Kishenji encounter,267318 268633 268633 265793 265838 266656 266983 285919 266455 267339 266111 298000 350778 265796 266417 266439 744171 350758 271636 267653 265493 265468 265517 743613 266464
Pension bill Cabinet,263421 722892 397643 254589 499311 397133 448630 396678 350306 499356 553683 406961 491944 251096 762307 700494 396690 705073 397063 435602 491929 799804 396321 396675 683216
United Nations Joint Inspection Unit,373672 721253 678715 300510 253000 761844 668820 338243 509514 721308 792225 721599 392120 379450 221291 459331 666747 748432 748432 299670 320854 467916 201439 359098 762053
UN Human Development Index,623214 398944 771718 632031 439945 624713 480542 798882 625588 541267 452385 401561 574473 397594 739064 541266 459440 215683 480589 510295 352161 259293 206064 544890 702601
Vivek Express,203986 203986 202087 204163 204435 466570 292231 291864 360067 622709 638769 203421 464205 460886 266191 291874 284395 265462 866210 691494 756766 208619 208619 208619 345104
Sonia Gandhi Forbes list,582112 383769 380946 656941 417252 680951 259700 259661 657211 259638 735570 441222 725319 448029 547785 544138 676140 718649 448516 790120 797767 859171 865149 455130 448029
AMRI hospital kolkata fire,270339 270290 618205 271354 271354 271315 270755 270755 270287 270786 282738 277656 271377 270759 280723 334133 334156 271350 272518 270826 271043 274059 418305 273369 270757
West Bengal hooch tragedy,272257 272272 272219 766318 272548 271636 423114 274829 272796 272251 271902 278447 274832 288754 553625 463720 577025 553625 277031 553625 553625 204707 358717 457580 277053
Court orders social networking sites,295234 472331 682180 296507 498432 436348 295234 448317 274625 241040 274835 492513 499612 289441 274632 287048 274330 274004 723759 349900 349933 407279 363363 634783 277137
Hazare cancels fast Mumbai,274605 275952 277968 276715 278637 277003 275682 275952 278666 274331 275331 271582 275055 271614 271592 274833 277913 275382 274330 275055 233288 275371 275398 545290 733516
Cyclone Thane Tamil Nadu,277322 278462 357174 279443 279181 279182 279179 277364 338282 285909 278939 276245 280059 280993 280044 339001 279168 282712 288161 277015 282712 279479 282251 275950 670928
women kabaddi world cup,552731 542266 420542 607578 545417 607685 607966 671205 499283 410406 541973 541973 607578 416217 498192 544179 547853 547090 448656 298041 253284 422829 454601 297223 294079
SHAR Mission Control Centre,384958 276990 570003 387958 577064 608078 665000 335454 388347 248570 381907 487523 387607 222572 623269 276724 616134 222537 335485 274841 224963 224961 769984 387276 616532
Pravasi Bharatiya Divas Jaipur,676947 428171 683153 425516 671761 455602 676943 671759 677424 397831 671412 423113 427890 420580 676550 676569 676551 676574 428157 259347 691596 355718 438175 676123 278255
Hunger and Malnutrition Hungama report,455814 651778 550368 552484 479382 552238 296506 552484 279175 552484 552238 577903 337849 478996 283574 650129 561907 680344 700501 680020 279214 301423 279740 837278 301423
Surya namaskar Madhya Pradesh,279721 654265 734056 729616 684097 565562 731626 443324 735164 281261 442952 557554 669622 819128 567972 329897 328577 326759 443343 326768 415231 415237 329477 735166 574189
delhi bail Suresh Kalmadi,199219 199219 228914 469872 538029 231491 538029 241326 233288 278244 267622 286243 241038 199219 368485 223466 278465 279176 396321 241351 727990 232945 434668 337314 368464
Thailand prime minister chief guest,283600 283333 662364 662364 286740 275332 689699 633598 736282 446404 476769 704448 560286 287360 274348 478285 274655 412833 665329 235760 476767 231802 573347 231803 671008
Supreme Court cancels licences 2G spectrum scam,687613 495074 495074 495074 495074 495074 495074 495074 495074 495074 495074 495074 495074 286201 551416 285624 247461 285611 551373 383033 338592 294795 657700 657666 291791
Special CBI court Subramanian Swamy 2G Scam,263199 220967 220967 263147 261026 545648 697609 468900 553042 468562 300826 286201 285240 261023 496623 712392 712392 763466 240170 240170 700099 292620 467129 467129 467129
Karnataka Assembly porn,466536 330184 291157 297232 287382 302671 287063 287414 289841 296528 287393 287392 287426 294815 298946 298946 288500 425747 295241 287368 295248 287371 292188 295241 295248
Army Chief age controversy,228330 427842 474186 356488 241014 347480 474186 469996 282849 586081 324903 278238 297208 339883 279980 200789 291795 284911 291139 284897 347851 280959 203381 203377 291823
Advanced Interceptor missile,790627 599506 860494 408360 789362 790673 863419 251634 704651 288123 251634 518421 412160 595488 412875 707522 590960 412875 704649 542221 447352 199218 199218 199218 452786
Israeli embassy blast Delhi,295235 334724 289440 289455 334391 289470 295235 290572 289819 290544 519141 289817 622992 387268 290572 389100 290544 300477 300506 437432 389503 618390 588974 446587 298028
fishermen mistaken pirates Italian ship,290543 289819 290543 338938 338968 293082 290587 332192 290587 422375 325651 420802 345818 328291 343462 669877 343462 570353 292169 295603 291192 427158 292227 290905 329880
stampede Bhavnath temple,291194 291164 291160 291212 346093 821358 493941 397450 821238 821273 694827 694827 635140 752334 341689 752334 501741 635153 752371 393051 752371 572836 401875 523465 759730
State Assembly election Uttar Pradesh,278890 454470 336824 824610 679540 551546 551546 442778 551546 551546 551546 499466 551546 551546 551546 481281 551546 481281 551546 298608 298608 551546 351733 298607 298607
Shiromani Akali Dal punjab elections manifesto,833309 822548 436330 246880 439879 246917 423687 246917 246917 246880 265525 803285 246880 563161 844332 455485 234159 645928 573252 351363 521573 493383 821612 593592 296829
Irom Sharmila AFSPA,449549 447076 447323 603905 260276 404261 608742 456999 456999 260281 266129 520772 473812 660408 728432 578683 562150 553761 553761 259943 553761 252437 633961 242260 682181
Indian Rail Budget,828242 299666 619149 619113 619114 619142 619151 445749 496807 496807 620284 499309 618789 619143 445705 693887 619152 545906 499140 398326 693887 687578 828332 445767 540016
Union Budget Pranab Mukherjee,324904 300840 328578 274831 300525 493092 328611 325238 276987 277924 277599 424400 326827 276990 493111 300522 681001 325597 477981 300825 300552 680983 300859 550708 296842
Dinesh Trivedi Railways TMC,299713 291820 233844 262013 267313 232945 263757 300501 281614 222584 223516 244393 290580 290580 299266 256169 301907 445695 222274 222274 300062 300811 301419 301419 680651
Dadasaheb Phalke award,716333 590674 339530 861320 470453 851066 470457 770372 590670 702581 237074 597374 831683 702560 851732 851062 491070 702571 702596 491094 857230 499406 467831 467820 551416
LTTE United Nations Human Rights,565420 300061 441818 446148 586074 407593 445766 442078 234168 530881 249190 627018 446110 762663 459781 597182 779400 781149 770419 702527 445076 330170 445730 445391 300508
BRICS summit New Delhi,456999 441703 456999 416960 769972 289457 793460 793842 463774 561431 322413 753932 298065 754371 607132 607132 607132 660603 500491 320793 620515 462309 455646 325237 455301
Pakistan Asif Ali Zardari Ajmer Sharif,327116 327132 327102 327208 327132 327102 327116 328589 327208 327129 448664 497217 327129 328257 372453 634574 330552 497271 634585 267943 497125 406586 847718 524141 671758
great earthquakes Sumatra Indonesia,330495 674650 424417 401824 647016 487493 660403 332208 330549 296841 331860 841048 830643 785956 785940 765270 438068 513326 464159 784321 843477 330921 755170 831071 714415
Ode village massacre,330927 665580 401496 338596 473495 338536 269045 330912 330922 665563 206429 459199 333007 561217 329810 475485 589393 589393 329826 363736 330167 333004 330880 468262 330184
RBI cuts repo rate,437080 458297 468225 283334 362210 283028 439538 371008 437127 437084 467859 437136 439537 435939 436395 332621 437396 437083 437082 470495 452787 843889 452808 470443 435903
fire Kurla Central Harbour line Mumbai,827432 745787 333772 615701 798283 332952 825580 441760 385649 825580 332972 449906 449838 620256 617487 744893 387212 675834 777189 398936 784816 439261 499805 822152 824311
test fire 5000 km range Agni-V,392470 263137 513215 207538 538534 559891 519182 363735 784816 459283 333720 514008 591234 657270 538512 559215 541980 541980 332951 396680 514008 392467 228917 694771 267946
Alex Paul Menon kidnapped by Maoists chattisgarh,336589 335153 337509 334346 334346 337851 334790 336263 342734 337498 337851 338535 335823 338188 334396 334107 334345 335125 336592 334345 334702 335508 334103 343790 345827
Kolkata kids CWS Norway,301858 332594 301520 301520 301520 320809 301520 315677 325598 335072 302667 302703 332967 322171 326004 294816 301419 302675 301419 302682 320793 297998 336846 322185 315677
Sachin Tendulkar nominated Rajya Sabha,356039 335913 337511 630988 336268 337497 630594 335881 374403 335874 351078 335859 629739 648643 341969 335822 380982 404544 421943 351318 572762 396324 342741 342706 421968
Abducted BJD MLA maoists,334346 322169 334346 334345 327497 546167 336326 334345 265210 338188 327462 337851 334107 339882 324914 328584 322228 332976 330502 335154 322482 322228 324968 332592 331383
ferry capsizes Brahmaputra,337206 499184 337826 337220 337497 353456 738979 738064 727954 468547 592647 375198 613448 863814 658789 469747 469747 738020 337511 563623 562870 388307 634361 601442 595740
Sukma Collector hostage released,334702 337509 335508 334774 334750 334396 335125 336589 336263 335489 395996 338535 337227 334735 335072 336208 338185 338224 338224 336591 337498 337901 336264 337208 338536
postpone GAAR,431109 430844 384980 384961 384946 433047 433415 339893 384945 359288 359288 360789 370538 368971 385632 408667 334359 384654 384654 384654 384654 363794 339216 359284 359284
Air India pilot strike,351729 345797 340221 377339 345769 360023 474192 474260 474212 474192 201409 474260 474212 469928 469995 356456 360049 469993 357109 198698 199822 357136 199822 198995 202512
withdraw 2G review petition,649847 337866 833344 408372 328242 231491 294795 339896 338592 328239 740925 341048 516568 441694 765004 431857 330880 431857 687613 833339 285913 295232 327496 295232 331316
parliament 60th anniversary,354474 437049 341439 588283 526336 341657 231520 388012 340246 341114 353532 341048 618320 750499 436785 341654 341461 341631 341389 240519 571465 450498 614977 397074 341648
2G scam bail,545941 341046 468288 260264 604294 205595 243075 227892 267945 581704 259634 582766 334135 279176 200520 247490 340245 226116 200522 349916 269992 222887 396321 226087 265490
UPA-II government 3 years in office,427854 477982 570087 204103 584990 407954 454976 750994 362599 390341 469413 328597 619534 206981 345038 244554 601049 543863 482544 411356 625557 612476 374402 391309 750994
Kolkata Knight Riders Indian Premier League,341696 720270 679173 605064 848153 711515 283302 847330 552323 552323 552322 552322 712726 718195 453588 706285 850048 707483 454565 602652 551419 861736 718597 606314 847402
Bikram Singh new Army Chief,600965 627082 627069 627806 347810 353468 593482 350382 334702 353507 353835 350314 297227 350673 600306 295913 347851 353834 328257 552135 354094 328588 626944 427848 426764
Ranvir Sena cheif killed,755190 349499 524627 349875 348858 582863 521968 221532 348180 348828 583737 348822 446786 332197 351130 348546 348568 348589 348178 348523 348116 770379 446805 348839 348783
Sachin takes oath,356039 351078 551760 562925 342741 342706 770423 380970 341653 476461 215278 687970 213092 254262 254262 455716 256967 476461 787179 441420 613591 787160 786816 476787 476461
VS Sampath new CEC,548798 599523 554027 630001 630043 634376 617958 634385 599542 599539 599530 357140 357140 350269 549866 351729 375260 350306 680044 680026 349900 350331 679037 577903 454034
Pranab Mukherjee UPA candidate president,366001 352977 353456 353399 363798 356039 354838 362613 353807 365132 353456 353464 362565 339216 361504 353458 356109 364160 338964 339237 356777 356460 358322 353818 358729
Kalam BJP candidate president,348200 354443 335088 335140 352977 354115 336848 353400 852155 335098 354090 337205 586118 337256 354457 352716 337333 354458 352620 352714 747495 337850 337510 791030 353015
india IMF Eurozone,733112 733500 736258 351117 355246 351105 340281 351089 337179 361126 301416 351097 301416 726221 351136 592059 442654 367136 373237 354912 398968 464537 259998 479047 249190
Singur Land Act,214044 214044 240239 231503 232412 239517 232989 240239 636374 243818 230754 236386 356102 356154 490326 356040 356131 245182 421595 381846 515259 841120 421574 421551 259689
26 11 Abu Jundal arrested delhi,451486 366445 396722 396323 396701 410408 394044 400761 366364 401819 375248 366834 418666 402072 394400 376058 500162 374872 374859 779097 394071 358719 366836 394071 823525
Surjeet Singh returns Pakistan,366427 366449 599538 358258 599538 599538 623873 358258 357484 587428 358293 467837 583327 358324 339891 603136 339914 625916 358293 625916 442198 854537 281594 358289 827340
encounter killed Chhattisgarh,462539 409245 462917 803829 462865 729058 863288 769327 823523 499244 462749 684399 729020 851220 642819 863809 850099 830174 363361 679793 731172 835479 731640 731111 865747
Ashok Chavan Adarsh chargesheet,198443 554068 554068 559893 591693 583302 549566 554044 555153 583740 383366 583747 554024 554038 360369 547628 585284 583664 550260 549968 382970 631477 360392 360808 383365
